RaceID,Year,Driver,Team,QualiPos,RacePos
BahrainGrandPrix2021,2021,max_verstappen,red_bull,1,2
BahrainGrandPrix2021,2021,hamilton,mercedes,2,1
BahrainGrandPrix2021,2021,bottas,mercedes,3,3
BahrainGrandPrix2021,2021,leclerc,ferrari,4,6
BahrainGrandPrix2021,2021,gasly,alphatauri,5,17
BahrainGrandPrix2021,2021,ricciardo,mclaren,6,7
BahrainGrandPrix2021,2021,norris,mclaren,7,4
BahrainGrandPrix2021,2021,sainz,ferrari,8,8
BahrainGrandPrix2021,2021,alonso,alpine,9,19
BahrainGrandPrix2021,2021,stroll,aston_martin,10,10
BahrainGrandPrix2021,2021,perez,red_bull,11,5
BahrainGrandPrix2021,2021,giovinazzi,alfa,12,12
BahrainGrandPrix2021,2021,tsunoda,alphatauri,13,9
BahrainGrandPrix2021,2021,raikkonen,alfa,14,11
BahrainGrandPrix2021,2021,russell,williams,15,14
BahrainGrandPrix2021,2021,ocon,alpine,16,13
BahrainGrandPrix2021,2021,latifi,williams,17,18
BahrainGrandPrix2021,2021,vettel,aston_martin,18,15
BahrainGrandPrix2021,2021,mick_schumacher,haas,19,16
BahrainGrandPrix2021,2021,mazepin,haas,20,20
EmiliaRomagnaGrandPrix2021,2021,hamilton,mercedes,1,2
EmiliaRomagnaGrandPrix2021,2021,perez,red_bull,2,11
EmiliaRomagnaGrandPrix2021,2021,max_verstappen,red_bull,3,1
EmiliaRomagnaGrandPrix2021,2021,leclerc,ferrari,4,4
EmiliaRomagnaGrandPrix2021,2021,gasly,alphatauri,5,7
EmiliaRomagnaGrandPrix2021,2021,ricciardo,mclaren,6,6
EmiliaRomagnaGrandPrix2021,2021,norris,mclaren,7,3
EmiliaRomagnaGrandPrix2021,2021,bottas,mercedes,8,18
EmiliaRomagnaGrandPrix2021,2021,ocon,alpine,9,9
EmiliaRomagnaGrandPrix2021,2021,stroll,aston_martin,10,8
EmiliaRomagnaGrandPrix2021,2021,sainz,ferrari,11,5
EmiliaRomagnaGrandPrix2021,2021,russell,williams,12,19
EmiliaRomagnaGrandPrix2021,2021,vettel,aston_martin,13,15
EmiliaRomagnaGrandPrix2021,2021,latifi,williams,14,20
EmiliaRomagnaGrandPrix2021,2021,alonso,alpine,15,10
EmiliaRomagnaGrandPrix2021,2021,raikkonen,alfa,16,13
EmiliaRomagnaGrandPrix2021,2021,giovinazzi,alfa,17,14
EmiliaRomagnaGrandPrix2021,2021,mick_schumacher,haas,18,16
EmiliaRomagnaGrandPrix2021,2021,mazepin,haas,19,17
EmiliaRomagnaGrandPrix2021,2021,tsunoda,alphatauri,20,12
PortugueseGrandPrix2021,2021,bottas,mercedes,1,3
PortugueseGrandPrix2021,2021,hamilton,mercedes,2,1
PortugueseGrandPrix2021,2021,max_verstappen,red_bull,3,2
PortugueseGrandPrix2021,2021,perez,red_bull,4,4
PortugueseGrandPrix2021,2021,sainz,ferrari,5,11
PortugueseGrandPrix2021,2021,ocon,alpine,6,7
PortugueseGrandPrix2021,2021,norris,mclaren,7,5
PortugueseGrandPrix2021,2021,leclerc,ferrari,8,6
PortugueseGrandPrix2021,2021,gasly,alphatauri,9,10
PortugueseGrandPrix2021,2021,vettel,aston_martin,10,13
PortugueseGrandPrix2021,2021,russell,williams,11,16
PortugueseGrandPrix2021,2021,giovinazzi,alfa,12,12
PortugueseGrandPrix2021,2021,alonso,alpine,13,8
PortugueseGrandPrix2021,2021,tsunoda,alphatauri,14,15
PortugueseGrandPrix2021,2021,raikkonen,alfa,15,20
PortugueseGrandPrix2021,2021,ricciardo,mclaren,16,9
PortugueseGrandPrix2021,2021,stroll,aston_martin,17,14
PortugueseGrandPrix2021,2021,latifi,williams,18,18
PortugueseGrandPrix2021,2021,mick_schumacher,haas,19,17
PortugueseGrandPrix2021,2021,mazepin,haas,20,19
SpanishGrandPrix2021,2021,hamilton,mercedes,1,1
SpanishGrandPrix2021,2021,max_verstappen,red_bull,2,2
SpanishGrandPrix2021,2021,bottas,mercedes,3,3
SpanishGrandPrix2021,2021,leclerc,ferrari,4,4
SpanishGrandPrix2021,2021,ocon,alpine,5,9
SpanishGrandPrix2021,2021,sainz,ferrari,6,7
SpanishGrandPrix2021,2021,ricciardo,mclaren,7,6
SpanishGrandPrix2021,2021,perez,red_bull,8,5
SpanishGrandPrix2021,2021,norris,mclaren,9,8
SpanishGrandPrix2021,2021,alonso,alpine,10,17
SpanishGrandPrix2021,2021,stroll,aston_martin,11,11
SpanishGrandPrix2021,2021,gasly,alphatauri,12,10
SpanishGrandPrix2021,2021,vettel,aston_martin,13,13
SpanishGrandPrix2021,2021,giovinazzi,alfa,14,15
SpanishGrandPrix2021,2021,russell,williams,15,14
SpanishGrandPrix2021,2021,tsunoda,alphatauri,16,20
SpanishGrandPrix2021,2021,raikkonen,alfa,17,12
SpanishGrandPrix2021,2021,mick_schumacher,haas,18,18
